# Iterations: 2000
# Rows      : 100
# Cols      : 55
# Levels    : 7
# Ntrees    : 50
# Ntrees internal   : 350
iter,total_time,time_per_row,time_per_tree,time_per_row_tree,time_per_inter_tree,time_per_row_inter_tree
649,1632000,16320,32640,326,4662,46
650,1615000,16150,32300,323,4614,46
651,1738000,17380,34760,347,4965,49
652,1808000,18080,36160,361,5165,51
653,1841000,18410,36820,368,5260,52
654,1532000,15320,30640,306,4377,43
655,1715000,17150,34300,343,4900,49
656,1904000,19040,38080,380,5440,54
657,1738000,17380,34760,347,4965,49
658,1664000,16640,33280,332,4754,47
659,1665000,16650,33300,333,4757,47
660,1666000,16660,33320,333,4760,47
661,1587000,15870,31740,317,4534,45
662,1370000,13700,27400,274,3914,39
663,1551000,15510,31020,310,4431,44
664,1714000,17140,34280,342,4897,48
665,1866000,18660,37320,373,5331,53
666,1851000,18510,37020,370,5288,52
667,1818000,18180,36360,363,5194,51
668,1883000,18830,37660,376,5380,53
669,1872000,18720,37440,374,5348,53
670,1790000,17900,35800,358,5114,51
671,1763000,17630,35260,352,5037,50
672,1479000,14790,29580,295,4225,42
673,1397000,13970,27940,279,3991,39
674,1466000,14660,29320,293,4188,41
675,1619000,16190,32380,323,4625,46
676,1724000,17240,34480,344,4925,49
677,1773000,17730,35460,354,5065,50
678,1794000,17940,35880,358,5125,51
679,1419000,14190,28380,283,4054,40
680,1578000,15780,31560,315,4508,45
681,1735000,17350,34700,347,4957,49
682,1685000,16850,33700,337,4814,48
683,1715000,17150,34300,343,4900,49
684,1773000,17730,35460,354,5065,50
685,1544000,15440,30880,308,4411,44
686,1299000,12990,25980,259,3711,37
687,1532000,15320,30640,306,4377,43
688,1372000,13720,27440,274,3920,39
689,1354000,13540,27080,270,3868,38
690,1354000,13540,27080,270,3868,38
691,1322000,13220,26440,264,3777,37
692,1333000,13330,26660,266,3808,38
693,1315000,13150,26300,263,3757,37
694,1319000,13190,26380,263,3768,37
695,1319000,13190,26380,263,3768,37
696,1361000,13610,27220,272,3888,38
697,1392000,13920,27840,278,3977,39
698,1600000,16000,32000,320,4571,45
699,1340000,13400,26800,268,3828,38
700,1793000,17930,35860,358,5122,51
701,1703000,17030,34060,340,4865,48
702,1736000,17360,34720,347,4960,49
703,1820000,18200,36400,364,5200,52
